Sl. No.,State/UT,Punishment for Rape (Sec.376 & 376(I) - ( Col. 3),Rape in Custody (Section 376 (2)) - Rape in Custody (Total) - ( Col. 4),Rape in Custody (Section 376 (2)) - By Police Personnel (Sec.376(2) (a) - ( Col. 5),Rape in Custody (Section 376 (2)) - By Public Servant (Sec.376(2) (b) - ( Col. 6),Rape in Custody (Section 376 (2)) - By Member of Armed Forces (Sec.376(2) (c) - ( Col. 7),Rape in Custody (Section 376 (2)) - By Management/Staff of Jail/Remand Home/Place of Custody (Sec.376(2)(d) - ( Col. 8),Rape in Custody (Section 376 (2)) - By Management/ Staff of Hospital (Sec.376(2)e) - ( Col. 9),Other Than Custodial Rape (Section 376(2)) - Rape Other than Custodial (Total) - ( Col. 10),Other Than Custodial Rape (Section 376(2)) - By Relative/ Guardian / Teacher/ Person in position of trust (Sec.376(2) (f) - ( Col. 11),Other Than Custodial Rape (Section 376(2)) - On Pregnant Women (Sec.376(2)(h) - ( Col. 12),Other Than Custodial Rape (Section 376(2)) - On Women Below 16 years of age (Sec.376(2) (i) - ( Col. 13),Other Than Custodial Rape (Section 376(2)) - On Women Incapable of giving Consent (Sec.376(2) (j) - ( Col. 14),Other Than Custodial Rape (Section 376(2)) - By Persons in Control or Dominance over women (Sec.376(2) (k) - ( Col. 15),Other Than Custodial Rape (Section 376(2)) - On Women with Mental or Physical disability (Sec.376(2)(l) - ( Col. 16),Other Than Custodial Rape (Section 376(2)) - Endanger life of Women after Rape (Sec.376(2)(m) - ( Col. 17),Other Than Custodial Rape (Section 376(2)) - Repeated Rape on same women (Sec.376(2)(n) - ( Col. 18),Other Than Custodial Rape (Section 376(2)) - Other Custodial Rapes - ( Col. 19),Punishment upto 20 years extended to life for Rape (Below 16 Yrs) (Sec.376(3)) - ( Col. 20),Punishment for causing Death (Sec.376(A)) - ( Col. 21),By Separated husband (Sec.376 (B)) - ( Col. 22),Rape of Girl Below 12 Yrs (Imprisonment for life till death) (Sec.376(AB)) - ( Col. 23),By Person in Authority (Sec.376 (C)) - ( Col. 24),Gang Rape (Sec.376(D)) - ( Col. 25),Rape/Gang Rape of Girl Below 16 Yrs (Imprisonment for life till death) (Sec.376(DA)) - ( Col. 26),Rape/Gang Rape of Girl Below 12 Yrs (Imprisonment for life till death) (Sec.376(DB)) - ( Col. 27),Punishment for Repeat offenders (Sec.376(E)) - ( Col. 28),Rape (Total) (Sec.376 IPC) - ( Col. 29)
1,Andhra Pradesh,262,2,0,2,0,0,0,172,7,0,0,2,0,11,1,128,23,0,2,0,0,0,0,0,0,0,438
2,Arunachal Pradesh,55,0,0,0,0,0,0,8,1,0,1,0,0,0,0,0,6,5,0,0,2,0,1,0,0,0,71
3,Assam,900,0,0,0,0,0,0,82,11,0,0,5,0,0,0,0,66,0,0,1,0,0,6,0,0,0,989
4,Bihar,894,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,902
5,Chhattisgarh,705,0,0,0,0,0,0,439,297,0,0,0,0,1,0,117,24,0,0,0,0,0,27,0,0,0,1171
6,Goa,79,0,0,0,0,0,0,5,1,0,0,1,0,1,0,2,0,11,0,0,1,0,1,0,0,0,97
7,Gujarat,351,0,0,0,0,0,0,264,17,1,0,2,0,7,3,234,0,0,2,3,0,0,14,0,0,0,634
8,Haryana,566,0,0,0,0,0,0,1072,8,1,0,0,1,2,0,878,182,0,0,2,0,1,131,0,0,0,1772
9,Himachal Pradesh,244,1,0,0,0,1,0,75,27,3,32,0,0,4,0,9,0,9,0,0,7,0,8,0,0,0,344
10,Jharkhand,1067,0,0,0,0,0,0,87,24,0,52,0,0,0,0,10,1,3,0,0,1,0,51,12,0,0,1221
11,Karnataka,502,1,0,0,0,1,0,146,16,1,0,5,1,3,1,100,19,0,0,1,0,0,6,0,0,0,656
12,Kerala,360,6,0,1,1,0,4,459,55,3,0,3,3,18,1,352,24,0,0,3,0,1,14,0,0,0,843
13,Madhya Pradesh,1081,0,0,0,0,0,0,1740,165,9,0,7,11,12,55,1193,288,0,1,2,0,1,150,0,0,4,2979
14,Maharashtra,1381,0,0,0,0,0,0,1477,61,2,0,2,0,32,0,1380,0,0,0,5,0,0,67,0,0,0,2930
15,Manipur,18,0,0,0,0,0,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27
16,Meghalaya,46,0,0,0,0,0,0,17,5,0,0,0,2,8,0,2,0,0,0,1,0,0,2,0,0,0,66
17,Mizoram,29,0,0,0,0,0,0,7,4,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,36
18,Nagaland,4,1,0,0,1,0,0,5,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,10
19,Odisha,1154,0,0,0,0,0,0,40,30,0,0,0,0,0,0,10,0,0,0,0,0,0,1,0,0,0,1195
20,Punjab,433,0,0,0,0,0,0,8,1,0,0,0,0,1,0,6,0,0,0,0,0,0,16,0,0,0,457
21,Rajasthan,2991,1,0,0,0,0,1,1215,294,0,0,120,9,1,0,507,284,0,0,4,0,0,867,0,0,0,5078
22,Sikkim,5,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,9
23,Tamil Nadu,307,0,0,0,0,0,0,55,12,0,0,3,1,10,0,29,0,0,0,0,0,0,3,0,0,0,365
24,Telangana,478,0,0,0,0,0,0,331,16,0,0,15,0,5,0,221,74,0,0,0,0,0,8,0,0,0,817
25,Tripura,44,0,0,0,0,0,0,11,4,0,0,0,0,1,0,6,0,0,0,0,0,0,2,0,0,0,57
26,Uttar Pradesh,3008,14,3,2,0,9,0,240,2,0,157,0,0,0,0,6,75,1,0,0,2,1,244,5,0,1,3516
27,Uttarakhand,388,0,0,0,0,0,0,31,3,1,0,0,0,0,0,27,0,0,0,0,0,0,2,0,0,0,421
28,West Bengal,836,0,0,0,0,0,0,184,8,0,0,0,0,10,1,19,146,0,0,5,0,0,85,0,0,0,1110
Total State (S),Total State (S),18188,26,3,5,2,11,5,8182,1080,21,242,165,28,130,62,5238,1216,29,5,27,13,4,1715,17,0,5,28211
29,Andaman and Nicoabr Islands,10,0,0,0,0,0,0,3,1,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,14
30,Chandigarh,26,0,0,0,0,0,0,48,0,0,0,0,0,1,0,47,0,15,0,0,8,0,2,2,1,0,102
31,Dadra and Nagar Haveli and Daman and Diu,4,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6
32,Delhi,995,0,0,0,0,0,0,59,1,0,0,0,1,0,0,45,12,0,3,3,0,0,34,0,0,0,1094
33,Jammu and Kashmir,171,0,0,0,0,0,0,60,38,0,1,0,0,1,0,0,20,0,0,0,0,0,0,0,0,0,231
34,Ladakh,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
35,Lakshadweep,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
36,Puducherry,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
Total UT (S),Total UT (S),1218,0,0,0,0,0,0,171,40,0,2,0,1,2,0,94,32,15,3,3,8,0,38,2,1,0,1459
Total All India,Total All India,19406,26,3,5,2,11,5,8353,1120,21,244,165,29,132,62,5332,1248,44,8,30,21,4,1753,19,1,5,29670
